dataset,species,dataset_type,outcome_raw,outcome_label,gene_class,filter_mode,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
Li (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),-0.8604181945750309,0.11979695655681605,3625,-7.18230428639446,8.279035221983521e-13,-1.0952943381040832,-0.6255420510459786,3629,3.6427754976727493e-11
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Full (All Genes),-0.7715731362478091,0.3141988991036998,1197,-2.4556837673487686,0.014203018814219004,-1.388014976126922,-0.15513129636869605,1201,0.06249328278256362
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),0.0141180595210042,0.21100950758739578,1197,0.06690721988039705,0.946666738578002,-0.39987158035430703,0.42810769939631543,1201,0.9917461070817164
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),0.14570170155893733,0.32215830114195687,1141,0.45226741338797555,0.6511623170770313,-0.4863874694417547,0.7777908725596294,1145,0.8742497598277101
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),0.017644158349302025,0.20450371854271313,1141,0.08627793408860106,0.9312606164846693,-0.38360139534904225,0.41888971204764625,1145,0.9917461070817164
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Core,Full (All Genes),-1.0813311953126323,1.2401283953002546,1197,-0.8719510007274892,0.3834099671638377,-3.514398376216129,1.3517359855908642,1201,0.6237553042662642
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Full (All Genes),-1.3964978658238172,0.83284468145475,1197,-1.6767806734198272,0.093846483926356,-3.0304956590498673,0.23749992740223314,1201,0.257561541075504
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-0.13004648159234217,1.341291887778732,1141,-0.09695613816594964,0.9227782541801495,-2.7617218859223014,2.501628922737617,1145,0.9917461070817164
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),-1.3960422521880822,0.8514422187155071,1141,-1.6396206595136467,0.10135971849111707,-3.0666104302395496,0.2745259258633852,1145,0.257561541075504
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Full (All Genes),-1.844179506289916,0.41760379099751416,1700,-4.416098574883133,1.0683079680713144e-5,-2.6632510512602465,-1.0251079613195853,1704,1.175138764878446e-4
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),-0.03467609959643392,0.2823265873247833,1700,-0.12282264991409815,0.9022620559298529,-0.5884202921813325,0.5190680929884647,1704,0.9917461070817164
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-0.8972158522850394,0.42411610990011067,1644,-2.115495807259844,0.03453775066233023,-1.7290805902943767,-0.06535111427570228,1648,0.12663841909521084
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-0.0332769037720867,0.27578607946296135,1644,-0.12066201396708225,0.9039734921074954,-0.5742059309507799,0.5076521234066065,1648,0.9917461070817164
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Core,Full (All Genes),1.3667032146405986,0.5879063158565181,1700,2.324695581215954,0.020205503794681296,0.21360703877451326,2.519799390506684,1704,0.08082201517872518
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Full (All Genes),0.6303248504804427,0.3974618703196707,1700,1.5858750173280396,0.11295364281256381,-0.1492411285828742,1.4098908295437598,1704,0.26157685703962147
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),1.3848518566285746,0.6194627327517285,1644,2.23556928191127,0.025513787091648105,0.16983268650454386,2.5998710267526053,1648,0.09761796800282754
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),0.629762884872442,0.40281233004624134,1644,1.5634151139319583,0.1181474478055632,-0.16031644854351257,1.4198422182883967,1648,0.26658911299716825
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Core,Full (All Genes),-0.7142878776185376,0.30445808471819463,995,-2.3460959438133497,0.01916670133231625,-1.3117415138375563,-0.11683424139951892,999,0.08031760558303952
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),-0.18873310041831115,0.5435380387144565,995,-0.3472307124349408,0.7284914291773779,-1.255345530677415,0.8778793298407929,999,0.9086822054812849
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-0.18785985871205588,0.32329480212494227,942,-0.5810791187402219,0.5613261297882225,-0.8223212210796487,0.44660150365553686,946,0.8372321935824336
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-0.20453781878244534,0.5413346059789161,942,-0.37783990996210515,0.7056346430191932,-1.2668991352918686,0.8578234977269779,946,0.9086822054812849
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Core,Full (All Genes),-0.23187281861852016,0.9096145032916522,995,-0.2549132822524644,0.7988427546334786,-2.016855776296165,1.5531101390591249,999,0.9763633667742517
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Accessory,Full (All Genes),2.6575035061272567,1.6239019685188965,995,1.6364925701463813,0.1020527724440359,-0.5291621948438854,5.844169207098399,999,0.257561541075504
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),0.3410541918630187,0.9904361318427475,942,0.3443474858176602,0.7306618331295001,-1.6026623585323259,2.284770742258363,946,0.9086822054812849
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),2.6658050958795303,1.6584162493623058,942,1.6074402894355295,0.10829292067947327,-0.5888127514446055,5.920422943203667,946,0.257561541075504
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Core,Full (All Genes),-0.37077870866389184,0.31494906993554805,1767,-1.1772656091341018,0.23924805589890458,-0.9884906598247933,0.24693324249700965,1771,0.4514052966006653
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),0.9409468997200543,0.496273327099258,1767,1.8960255333888993,0.05811967356244007,-0.03239766438464009,1.9142914638247488,1771,0.1763631473618871
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),0.43078199793501776,0.32020678356521204,1711,1.3453243967496598,0.17869876433793083,-0.19725603538184672,1.0588200312518823,1715,0.3744164586128075
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),0.9515599110693773,0.4853115409218108,1711,1.9607197250285142,0.05007375082932414,-3.065744338502929e-4,1.903426396572605,1715,0.15737464546359015
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Core,Full (All Genes),-0.43830219927780184,0.2725331252896097,1767,-1.60825293737059,0.10795843745094347,-0.9728234430238911,0.0962190444682875,1771,0.257561541075504
