dataset,n_conditions,replicate,n_genes_used,beta_slope,beta_mean,beta_diff
E. coli Consensus,20,13,1700,-0.049352982978292353,-0.0653937924243609,0.016040809446068546
E. coli Consensus,20,14,1700,-0.16059785303384977,-0.091841628036466,-0.06875622499738376
E. coli Consensus,20,15,1695,-0.12337440861570233,-0.04684515439590707,-0.07652925421979526
E. coli Consensus,20,16,1695,-0.0700753637794404,-0.050160008579557214,-0.01991535519988319
E. coli Consensus,20,17,1700,-0.17779021074771195,-0.08336331616215405,-0.0944268945855579
E. coli Consensus,20,18,1695,-0.16303025365797097,-0.06497396642381685,-0.09805628723415412
E. coli Consensus,20,19,1700,-0.07815896298877922,-0.08062599229647556,0.002467029307696336
E. coli Consensus,20,20,1695,-0.1067573386351346,-0.04313161205010535,-0.06362572658502925
E. coli Consensus,20,21,1700,-0.10829642640832474,-0.04816404883777323,-0.06013237757055151
E. coli Consensus,20,22,1695,-0.13057864134259503,-0.06579550043271745,-0.06478314090987758
E. coli Consensus,20,23,1700,-0.13973213995409142,-0.05216449318316187,-0.08756764677092956
E. coli Consensus,20,24,1700,-0.1173000537941784,-0.09270078486509414,-0.02459926892908426
E. coli Consensus,20,25,1700,-0.0874140400045454,-0.057739722072871584,-0.02967431793167382
E. coli Consensus,20,26,1695,-0.14637143838875327,-0.07145583831913895,-0.07491560006961433
E. coli Consensus,20,27,1700,-0.14882504254367648,-0.07073262009791807,-0.07809242244575841
E. coli Consensus,20,28,1700,-0.11542367477256657,-0.065619003849443025,-0.049804670923123545
E. coli Consensus,20,29,1700,-0.127946115101712,-0.08402287670769377,-0.043923238394018224
E. coli Consensus,20,30,1700,-0.10377779215593594,-0.09660737344564757,-0.007170418710288368
E. coli Consensus,20,31,1700,-0.17143779102624462,-0.05239247023906854,-0.11904532078717608
E. coli Consensus,20,32,1700,-0.11494652520545058,-0.06952037462135932,-0.04542615058409126
E. coli Consensus,20,33,1700,-0.1498542887543837,-0.11123060322764335,-0.03862368552674035
E. coli Consensus,20,34,1700,-0.17163889829164497,-0.08927055103846485,-0.08236834725318012
E. coli Consensus,20,35,1700,-0.13485720857635206,-0.05443008440613522,-0.08042712417021683
E. coli Consensus,20,36,1700,-0.0868954452005296,-0.04238476696182752,-0.04451067823870208
E. coli Consensus,20,37,1700,-0.16289651622788667,-0.05738201028696093,-0.10551450594092573
E. coli Consensus,20,38,1700,-0.14185120462261758,-0.03607146413588052,-0.10577974048673705
E. coli Consensus,20,39,1700,-0.09237389042470003,-0.045717173182849825,-0.0466567172418502
E. coli Consensus,20,40,1700,-0.10985730838699585,-0.06027971305095819,-0.049577595336037665
E. coli Consensus,20,41,1700,-0.13280536552049937,-0.06948120810516444,-0.06332415741533494
